"time","Output(1,1)","Output(1,2)","Output(1,3)","Output(2,1)","Output(2,2)","Output(2,3)","Output(3,1)","Output(3,2)","Output(3,3)"
0.0000000000000000,1.0000000000000000,2.0000000000000000,3.0000000000000000,4.0000000000000000,5.0000000000000000,6.0000000000000000,7.0000000000000000,8.0000000000000000,9.0000000000000000
0.0100000000000000,1.0099998333341667,2.0199996666683333,3.0299995000025000,4.0399993333366666,5.0499991666708333,6.0599990000049999,7.0699988333391666,8.0799986666733332,9.0899985000074999
0.0200000000000000,1.0199986666933332,2.0399973333866663,3.0599960000799991,4.0799946667733327,5.0999933334666654,6.1199920001599981,7.1399906668533317,8.1599893335466653,9.1799880002399981
0.0300000000000000,1.0299955002024956,2.0599910004049913,3.0899865006074871,4.1199820008099826,5.1499775010124784,6.1799730012149743,7.2099685014174693,8.2399640016199651,9.2699595018224610
0.0400000000000000,1.0399893341866342,2.0799786683732684,3.1199680025599026,4.1599573367465368,5.1999466709331710,6.2399360051198052,7.2799253393064394,8.3199146734930736,9.3599040076797078
0.0500000000000000,1.0499791692706784,2.0999583385413567,3.1499375078120351,4.1999166770827134,5.2498958463533913,6.2998750156240702,7.3498541848947481,8.3998333541654269,9.4498125234361048
0.0600000000000000,1.0599640064794447,2.1199280129588893,3.1798920194383338,4.2398560259177787,5.2998200323972231,6.3597840388766675,7.4197480453561120,8.4797120518355573,9.5396760583150009
0.0700000000000000,1.0699428473375328,2.1398856946750655,3.2098285420125983,4.2797713893501310,5.3497142366876638,6.4196570840251965,7.4895999313627293,8.5595427787002620,9.6294856260377948
0.0800000000000000,1.0799146939691726,2.1598293879383452,3.2397440819075181,4.3196587758766904,5.3995734698458637,6.4794881638150361,7.5594028577842085,8.6393175517533809,9.7192322457225551
0.0900000000000000,1.0898785491980110,2.1797570983960219,3.2696356475940331,4.3595141967920439,5.4493927459900551,6.5392712951880663,7.6291498443860775,8.7190283935840878,9.8089069427820998
0.1000000000000000,1.0998334166468282,2.1996668332936564,3.2995002499404844,4.3993336665873128,5.4991670832341404,6.5990004998809688,7.6988339165277972,8.7986673331746257,9.8985007498214532
0.1100000000000000,1.1097783008371749,2.2195566016743498,3.3293349025115244,4.4391132033486995,5.5488915041858737,6.6586698050230488,7.7684481058602239,8.8782264066973990,9.9880047075345733
0.1200000000000000,1.1197122072889194,2.2394244145778388,3.3591366218667580,4.4788488291556776,5.5985610364445968,6.7182732437335160,7.8379854510224352,8.9576976583113552,10.0774098656002735
0.1300000000000000,1.1296341426196947,2.2592682852393895,3.3889024278590845,4.5185365704787790,5.6481707130984740,6.7778048557181689,7.9074389983378639,9.0370731409575580,10.1667072835772530
0.1400000000000000,1.1395431146442365,2.2790862292884730,3.4186293439327096,4.5581724585769461,5.6977155732211822,6.8372586878654191,7.9768018025096552,9.1163449171538922,10.2558880317981291
0.1500000000000000,1.1494381324735992,2.2988762649471983,3.4483143974207975,4.5977525298943966,5.7471906623679958,6.8966287948415950,8.0460669273151950,9.1955050597887933,10.3449431922623933
0.1600000000000000,1.1593182066142460,2.3186364132284920,3.4779546198427380,4.6372728264569840,5.7965910330712296,6.9559092396854760,8.1152274462997216,9.2745456529139680,10.4338638595282145
0.1700000000000000,1.1691823490669959,2.3383646981339918,3.5075470472009882,4.6767293962679837,5.8459117453349805,7.0150940944019764,8.1842764434689723,9.3534587925359673,10.5226411416029642
0.1800000000000000,1.1790295734258243,2.3580591468516485,3.5370887202774726,4.7161182937032970,5.8951478671291211,7.0741774405549451,8.2532070139807701,9.4322365874065941,10.6112661608324181
0.1900000000000000,1.1888588949765007,2.3777177899530013,3.5665766849295020,4.7554355799060026,5.9442944748825033,7.1331533698590039,8.3220122648355037,9.5108711598120053,10.6997300547885050
0.2000000000000000,1.1986693307950613,2.3973386615901227,3.5960079923851840,4.7946773231802453,5.9933466539753066,7.1920159847703680,8.3906853155654293,9.5893546463604906,10.7880239771555519
0.2100000000000000,1.2084598998460996,2.4169197996921992,3.6253796995382990,4.8338395993843983,6.0422994992304986,7.2507593990765979,8.4592192989226973,9.6676791987687967,10.8761390986148960
0.2200000000000001,1.2182296230808694,2.4364592461617387,3.6546888692426083,4.8729184923234774,6.0911481154043470,7.3093777384852165,8.5276073615660852,9.7458369846469548,10.9640666077278244
0.2300000000000001,1.2279775235351884,2.4559550470703768,3.6839325706055654,4.9119100941407536,6.1398876176759423,7.3678651412111309,8.5958426647463195,9.8238201882815073,11.0517977118166968
0.2400000000000001,1.2377026264271347,2.4754052528542694,3.7131078792814041,4.9508105057085388,6.1885131321356734,7.4262157585628081,8.6639183849899428,9.9016210114170775,11.1393236378442122
0.2500000000000001,1.2474039592545230,2.4948079185090459,3.7422118777635691,4.9896158370180919,6.2370197962726150,7.4844237555271382,8.7318277147816605,9.9792316740361837,11.2266356332907069
0.2600000000000001,1.2570805518921553,2.5141611037843106,3.7712416556764654,5.0283222075686211,6.2854027594607764,7.5424833113529308,8.7995638632450870,10.0566444151372423,11.3137249670293976
0.2700000000000001,1.2667314366888311,2.5334628733776623,3.8001943100664937,5.0669257467553246,6.3336571834441564,7.6003886201329873,8.8671200568218183,10.1338514935106492,11.4005829301994801
0.2800000000000001,1.2763556485641139,2.5527112971282278,3.8290669456923414,5.1054225942564555,6.3817782428205696,7.6581338913846828,8.9344895399487960,10.2108451885129110,11.4872008370770242
0.2900000000000001,1.2859522251048356,2.5719044502096713,3.8578566753145069,5.1438089004193426,6.4297611255241787,7.7157133506290139,9.0016655757338491,10.2876178008386852,11.5735700259435212
