"time","out1","out2","out3"
0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
0.1000000000000000,0.0000000000000000,3.2999999999999998,5.5041629183333338
0.2000000000000000,0.0000000000000000,3.5999999999999996,6.0132800766111307
0.3000000000000000,0.0000000000000000,3.8999999999999995,6.5222645444734848
0.4000000000000000,0.0000000000000000,4.1999999999999993,7.0260307173620546
0.5000000000000000,1.1000000000000001,4.4999999999999991,7.5195451301997664
0.6000000000000001,1.2000000000000000,4.7999999999999989,7.9978767501100263
0.7000000000000001,2.7552344152546855,5.0999999999999988,8.4562462456672201
0.8000000000000000,2.9875284530051109,5.3999999999999986,8.8900737403964261
0.9000000000000000,4.4478249183244944,5.6999999999999984,9.2950245733851720
1.0000000000000000,4.7917555403993708,5.9999999999999982,9.6670526097823171
1.1000000000000001,6.1738188198781714,6.2999999999999980,10.0024406684398759
1.2000000000000002,6.6121251380806774,6.5999999999999979,10.2978376627581625
1.3000000000000000,7.9279791259449173,6.8999999999999977,10.5502920836351883
1.4000000000000001,8.4460625050257629,7.1999999999999975,10.7572814899697757
1.5000000000000000,9.7039847311758916,7.4999999999999973,10.9167377120590086
1.6000000000000001,10.2893261872630362,7.7999999999999972,11.0270675160660261
1.7000000000000002,11.4946753891561499,8.0999999999999979,11.0871685230856176
1.8000000000000000,12.1363811857711088,8.3999999999999986,11.0964402237495818
1.9000000000000001,13.2923314113463817,8.6999999999999993,11.0547899783175598
2.0000000000000000,13.9807867015031881,9.0000000000000000,10.9626339423024195
2.1000000000000001,15.0889767128721388,9.3000000000000007,10.8208929083816532
2.2000000000000002,15.8155897049573220,9.6000000000000014,10.6309831061410343
2.3000000000000003,16.8766929344985890,9.9000000000000021,10.3948020515764554
2.4000000000000004,17.6337141299888707,10.2000000000000028,10.1147095877410589
2.5000000000000000,11.1635021750860570,10.5000000000000036,9.7935043059732383
2.6000000000000001,11.2635021750860567,10.8000000000000043,9.4343955832968156
2.7000000000000002,12.9072760063819842,11.1000000000000050,9.0409715153864525
2.8000000000000003,13.1476190819543426,11.4000000000000057,8.6171630655015043
2.9000000000000004,14.6224990389098117,11.7000000000000064,8.1672047876003209
3.0000000000000000,14.9750727400624513,12.0000000000000071,7.6955925160766547
3.1000000000000001,-0.2514602793067198,3.2999999999999998,7.2070384448683535
3.2000000000000002,0.1898976742814149,3.5999999999999996,6.7064240447730246
3.3000000000000003,1.3933556840538910,3.8999999999999995,6.1987512894052994
3.4000000000000004,1.9039954609315117,4.1999999999999993,5.6890926771298096
3.5000000000000000,2.9992226643023940,4.4999999999999991,5.1825405483341989
3.6000000000000001,3.5630067526794020,4.7999999999999989,4.6841562044472287
3.7000000000000002,4.5657396634980936,5.0999999999999988,4.1989193370879283
3.8000000000000003,5.1694281902788912,5.3999999999999986,3.7316782726330175
3.9000000000000004,6.0941047333512852,5.6999999999999984,3.2871015293424315
4.0000000000000000,6.7269739888858648,5.9999999999999982,2.8696311710681428
4.1000000000000005,7.5870617220218204,6.2999999999999980,-4.4112132969064914
4.2000000000000002,8.2405872027928879,6.5999999999999979,-4.7622697232677229
4.2999999999999998,9.0487863901791332,6.8999999999999977,-5.0746821887912024
4.4000000000000004,9.7163731170061265,7.1999999999999975,-5.3453291714103726
4.5000000000000000,4.1405058487361970,7.4999999999999973,-5.5715064559600185
4.6000000000000005,4.2405058487361966,7.7999999999999972,-5.7509541538000937
4.7000000000000002,5.5536378363843006,8.0999999999999979,-5.8818792828757633
4.8000000000000007,5.7639225625341286,8.3999999999999986,-5.9629736826011683
4.9000000000000004,6.9553464586879947,8.6999999999999993,-5.9934270845673225
5.0000000000000000,7.2548256548381902,9.0000000000000000,-5.9729352084759499
5.1000000000000005,8.3532676573352092,9.3000000000000007,-5.9017028024073639
5.2000000000000002,8.7253798358805685,9.6000000000000014,-5.7804415970450522
5.3000000000000007,9.7552371842269459,9.9000000000000021,-5.6103631942976673
5.4000000000000004,10.1871443782087638,10.2000000000000028,-5.3931669613729785
5.5000000000000000,10.7701770236050098,10.5000000000000036,-5.1310230512621864
5.6000000000000005,11.2158228949881380,10.8000000000000043,-4.8265507192883188
5.7000000000000002,11.8039387160408573,11.1000000000000050,-4.4827921523725909
5.8000000000000007,12.2625364010303119,11.4000000000000057,-4.1031820725080461
5.9000000000000004,12.8631077496576225,11.7000000000000064,-3.6915134181525344
6.0000000000000000,13.3346121313414283,12.0000000000000071,-3.2518994464411950
6.1000000000000005,19.0596620675803514,3.2999999999999998,-2.7887326348806227
6.2000000000000002,19.5445435206986033,3.5999999999999996,-2.3066407931653972
6.3000000000000007,20.1851571518336108,3.8999999999999995,-1.8104408236332061
6.4000000000000004,20.6841960756806600,4.1999999999999993,-1.3050905923688059
6.5000000000000000,16.7938068372101803,4.4999999999999991,-0.7956393918448452
6.6000000000000005,16.8938068372101782,4.7999999999999989,-0.2871774900604683
6.7000000000000002,17.9947981813008440,5.0999999999999988,0.2152147297339708
6.8000000000000007,18.1857973943999944,5.3999999999999986,0.7065175305470233
6.9000000000000004,19.2357990809079595,5.6999999999999984,1.1818219771988596
7.0000000000000000,19.5048894279533691,5.9999999999999982,1.6363789847788808
7.1000000000000005,20.5149985590667612,6.2999999999999980,2.0656467699322505
7.2000000000000002,20.8514542501183513,6.5999999999999979,2.4653362308577789
7.3000000000000007,21.8290947580108750,6.8999999999999977,2.8314538025952229
7.4000000000000004,22.2238399778661844,7.1999999999999975,3.1603413594061349
7.5000000000000000,23.1734207775595600,7.4999999999999973,3.4487127655568668
7.6000000000000005,23.6186055955819683,7.7999999999999972,3.6936867093003865
7.7000000000000002,24.5421259841224924,8.0999999999999979,3.8928154919906164
7.8000000000000007,25.0307958540101865,8.3999999999999986,4.0441094846779810
7.9000000000000004,25.9284053716474610,8.6999999999999993,4.1460570078239503
8.0000000000000000,26.4542515731487491,9.0000000000000000,4.1976394355030395
8.0999999999999996,5.4052102477176911,9.3000000000000007,0.2625599901507359
8.2000000000000011,5.9623900764945237,9.6000000000000014,0.2123744243164757
8.3000000000000007,6.8037739900902388,9.9000000000000021,0.1118027925878783
8.4000000000000004,7.3867905538506058,10.2000000000000028,-0.0381500265070302
8.5000000000000000,2.6566249162469315,10.5000000000000036,-0.2359857539395290
8.5999999999999996,2.7566249162469316,10.8000000000000043,-0.4797276804892736
8.7000000000000011,4.0329090762623299,11.1000000000000050,-0.7669404173696882
8.8000000000000007,4.2398439999000939,11.4000000000000057,-1.0947542298279576
8.9000000000000004,5.3890858653029863,11.7000000000000064,-1.4598937105863263
9.0000000000000000,5.6816850563739436,12.0000000000000071,-1.8587105066291576
9.0999999999999996,6.6026974173463948,3.2999999999999998,-2.2872197723405097
9.2000000000000011,6.9629713084361899,3.5999999999999996,-2.7411399847645277
9.3000000000000007,7.9004106232933413,3.8999999999999995,-3.2159357231677266
9.4000000000000004,8.3131540983619878,4.1999999999999993,-3.7068629854639190
9.5000000000000000,9.1621719140911875,4.4999999999999991,-4.2090165887150492
9.6000000000000014,9.6145766928562484,4.7999999999999989,-4.7173791800977938
9.7000000000000011,10.3853966440608954,5.0999999999999988,-5.2268713686345505
