"time","Output"
0.0000000000000000,0
0.2000000000000000,0
0.4000000000000000,0
0.6000000000000001,0
0.8000000000000000,0
1.0000000000000000,0
1.2000000000000002,0
1.4000000000000001,1
1.6000000000000001,1
1.8000000000000000,1
2.0000000000000000,1
2.2000000000000002,1
2.4000000000000004,2
2.6000000000000001,2
2.8000000000000003,2
3.0000000000000000,2
3.2000000000000002,2
3.4000000000000004,3
3.6000000000000001,3
3.8000000000000003,3
4.0000000000000000,3
4.2000000000000002,3
4.4000000000000004,4
4.6000000000000005,4
4.8000000000000007,4
5.0000000000000000,4
5.2000000000000002,4
5.4000000000000004,5
5.6000000000000005,5
5.8000000000000007,5
6.0000000000000000,5
6.2000000000000002,5
6.4000000000000004,0
6.6000000000000005,0
6.8000000000000007,0
7.0000000000000000,0
7.2000000000000002,0
7.4000000000000004,1
7.6000000000000005,1
7.8000000000000007,1
8.0000000000000000,1
8.2000000000000011,1
8.4000000000000004,2
8.5999999999999996,2
8.8000000000000007,2
9.0000000000000000,2
9.2000000000000011,2
9.4000000000000004,3
9.6000000000000014,3
9.8000000000000007,3
10.0000000000000000,3
10.2000000000000011,3
10.4000000000000004,4
10.6000000000000014,4
10.8000000000000007,4
11.0000000000000000,4
11.2000000000000011,4
11.4000000000000004,5
11.6000000000000014,5
11.8000000000000007,5
12.0000000000000000,5
12.2000000000000011,5
12.4000000000000004,0
12.6000000000000014,0
12.8000000000000007,0
13.0000000000000000,0
13.2000000000000011,0
13.4000000000000004,1
13.6000000000000014,1
13.8000000000000007,1
14.0000000000000000,1
14.2000000000000011,1
14.4000000000000004,2
14.6000000000000014,2
14.8000000000000007,2
15.0000000000000000,2
15.2000000000000011,2
15.4000000000000004,3
15.6000000000000014,3
15.8000000000000007,3
16.0000000000000000,3
16.1999999999999993,3
16.4000000000000021,4
16.6000000000000014,4
16.8000000000000007,4
17.0000000000000000,4
17.1999999999999993,4
17.4000000000000021,5
17.6000000000000014,5
17.8000000000000007,5
18.0000000000000000,5
18.1999999999999993,5
18.4000000000000021,0
18.6000000000000014,0
18.8000000000000007,0
19.0000000000000000,0
19.2000000000000028,0
19.4000000000000021,1
19.6000000000000014,1
19.8000000000000007,1
20.0000000000000000,1
20.2000000000000028,1
20.4000000000000021,2
20.6000000000000014,2
20.8000000000000007,2
21.0000000000000000,2
21.2000000000000028,2
21.4000000000000021,3
21.6000000000000014,3
21.8000000000000007,3
22.0000000000000000,3
22.2000000000000028,3
22.4000000000000021,4
22.6000000000000014,4
22.8000000000000007,4
23.0000000000000000,4
23.2000000000000028,4
23.4000000000000021,5
23.6000000000000014,5
23.8000000000000007,5
24.0000000000000000,5
24.2000000000000028,5
24.4000000000000021,0
24.6000000000000014,0
24.8000000000000007,0
25.0000000000000000,0
25.2000000000000028,0
25.4000000000000021,1
25.6000000000000014,1
25.8000000000000007,1
26.0000000000000000,1
26.2000000000000028,1
26.4000000000000021,2
26.6000000000000014,2
26.8000000000000007,2
27.0000000000000000,2
27.2000000000000028,2
27.4000000000000021,3
27.6000000000000014,3
27.8000000000000007,3
28.0000000000000000,3
28.2000000000000028,3
28.4000000000000021,4
28.6000000000000014,4
28.8000000000000007,4
29.0000000000000000,4
29.2000000000000028,4
29.4000000000000021,5
29.6000000000000014,5
29.8000000000000007,5
30.0000000000000000,5
