"time","Output(1)","Output(2)","Output(3)"
0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
0.1000000000000000,0.0000000000000000,0.3000000000000000,0.3999999999999999
0.2000000000000000,0.0000000000000000,0.6000000000000001,0.7999999999999998
0.3000000000000000,1.1000000000000001,0.9000000000000001,1.1999999999999997
0.4000000000000000,1.2000000000000000,1.2000000000000002,1.5999999999999996
0.5000000000000000,2.7163066260504496,1.5000000000000002,1.9999999999999996
0.6000000000000001,2.9450617738732179,1.8000000000000003,2.3999999999999995
0.7000000000000001,4.3723185021980280,2.1000000000000005,2.7999999999999994
0.8000000000000000,4.7100283391573452,2.4000000000000004,3.1999999999999993
0.9000000000000000,6.0655455364105810,2.7000000000000002,3.5999999999999992
1.0000000000000000,6.4957833152147995,3.0000000000000000,3.9999999999999991
1.1000000000000001,8.5986550584138488,3.2999999999999998,4.3999999999999986
1.2000000000000002,9.1076237000878351,3.5999999999999996,4.7999999999999989
1.3000000000000000,5.1179372833479722,3.8999999999999995,5.1999999999999993
1.4000000000000001,5.2179372833479727,4.1999999999999993,5.5999999999999996
1.5000000000000000,6.8914183799849233,4.4999999999999991,6.0000000000000000
1.6000000000000001,7.1344621160428279,4.7999999999999989,6.4000000000000004
1.7000000000000002,8.6800421451414831,5.0999999999999988,6.8000000000000007
1.8000000000000000,9.0414982714758203,5.3999999999999986,7.2000000000000011
1.9000000000000001,10.4760059386125270,5.6999999999999984,7.6000000000000014
2.0000000000000000,10.9350122050198060,5.9999999999999982,8.0000000000000018
2.1000000000000001,12.2712657604437290,6.2999999999999980,8.4000000000000021
2.2000000000000002,12.8100217803979763,6.5999999999999979,8.8000000000000025
2.3000000000000003,8.5224615808555058,6.8999999999999977,9.2000000000000028
2.4000000000000004,8.6224615808555054,7.1999999999999975,9.6000000000000032
2.5000000000000000,10.2897333248379397,7.4999999999999973,10.0000000000000036
2.6000000000000001,10.5322125742908881,7.7999999999999972,10.4000000000000039
2.7000000000000002,12.0343674871293391,8.0999999999999979,10.8000000000000043
2.8000000000000003,12.3913627059809706,8.3999999999999986,11.2000000000000046
2.9000000000000004,13.7502948991014478,8.6999999999999993,11.6000000000000050
3.0000000000000000,14.1983752974320652,9.0000000000000000,12.0000000000000053
3.1000000000000001,15.4326457753104229,9.3000000000000007,12.4000000000000057
3.2000000000000002,15.9521979990544693,9.6000000000000014,12.8000000000000060
3.3000000000000003,11.8566757616139942,9.9000000000000021,13.2000000000000064
3.4000000000000004,11.9566757616139938,10.2000000000000028,13.6000000000000068
3.5000000000000000,13.4600631798955632,10.5000000000000036,14.0000000000000071
3.6000000000000001,13.6876438542847971,10.8000000000000043,14.4000000000000075
3.7000000000000002,15.0245500854534377,11.1000000000000050,14.8000000000000078
3.8000000000000003,15.3529785377317083,11.4000000000000057,15.2000000000000082
3.9000000000000004,16.5512530552126229,11.7000000000000064,15.6000000000000085
4.0000000000000000,16.9587584225093160,12.0000000000000071,16.0000000000000071
4.1000000000000005,8.1591444818782151,12.3000000000000078,16.4000000000000057
4.2000000000000002,8.6281576165944163,12.6000000000000085,16.8000000000000043
4.2999999999999998,5.0380262694324021,12.9000000000000092,17.2000000000000028
4.4000000000000004,5.1380262694324026,13.2000000000000099,17.6000000000000014
4.5000000000000000,6.4705288822248406,13.5000000000000107,18.0000000000000000
4.6000000000000005,6.6825745742968810,13.8000000000000114,18.3999999999999986
4.7000000000000002,7.8843374342299919,14.1000000000000121,18.7999999999999972
4.8000000000000007,8.1863574142894020,14.4000000000000128,19.1999999999999957
4.9000000000000004,9.2865999805796005,14.7000000000000135,19.5999999999999943
5.0000000000000000,9.6611856502963551,15.0000000000000142,19.9999999999999929
5.1000000000000005,10.6849746938783703,15.3000000000000149,20.3999999999999915
5.2000000000000002,11.1185788521283300,15.6000000000000156,20.7999999999999901
5.3000000000000007,7.8825372696287310,15.9000000000000163,21.1999999999999886
5.4000000000000004,7.9825372696287307,16.2000000000000171,21.5999999999999872
5.5000000000000000,8.8954729571903108,16.5000000000000178,21.9999999999999858
5.6000000000000005,9.0693762015140926,16.8000000000000185,22.3999999999999844
5.7000000000000002,9.9275937888990917,17.1000000000000192,22.7999999999999829
5.8000000000000007,10.1637074280466191,17.4000000000000199,23.1999999999999815
5.9000000000000004,10.9854193993762053,17.7000000000000206,23.5999999999999801
6.0000000000000000,11.2747692505402828,18.0000000000000213,23.9999999999999787
6.1000000000000005,12.0744760466831735,18.3000000000000220,24.3999999999999773
6.2000000000000002,12.4102219837544165,18.6000000000000227,24.7999999999999758
6.3000000000000007,10.1527626130419879,18.9000000000000234,25.1999999999999744
6.4000000000000004,10.2527626130419875,19.2000000000000242,25.5999999999999730
6.5000000000000000,11.3141339956946361,19.5000000000000249,25.9999999999999716
6.6000000000000005,11.5015313941176043,19.8000000000000256,26.3999999999999702
6.7000000000000002,12.5156530706027738,20.1000000000000263,26.7999999999999687
6.8000000000000007,12.7782072215768512,20.4000000000000270,27.1999999999999673
6.9000000000000004,13.7570860396597858,20.7000000000000277,27.5999999999999659
7.0000000000000000,14.0847606149164868,21.0000000000000284,27.9999999999999645
7.1000000000000005,7.2286244040154353,21.3000000000000291,28.3999999999999631
7.2000000000000002,7.6130448043804746,21.6000000000000298,28.7999999999999616
7.3000000000000007,4.8688408007300783,21.9000000000000306,29.1999999999999602
7.4000000000000004,4.9688408007300788,22.2000000000000313,29.5999999999999588
7.5000000000000000,6.2113870632307595,22.5000000000000320,29.9999999999999574
7.6000000000000005,6.4152549052762753,22.8000000000000327,30.3999999999999559
